pairX,pairY,value
imdbScore,imdbScore,1
imdbScore,grossEarning,0.212494449
imdbScore,profit,0.178117825
imdbScore,ROI,0.010351325
imdbScore,budget,0.033414207
imdbScore,duration,0.359489146
imdbScore,numFaceInPoster,-0.065640046
imdbScore,numVotedUsers,0.47437201
imdbScore,numCriticsForReviews,0.34158176
imdbScore,movieFBLikes,0.277920633
imdbScore,castMemberFBLikes,0.105952386
imdbScore,directorFBLikes,0.189390609
imdbScore,actor1FBLikes,0.092805327
imdbScore,actor2FBLikes,0.102372959
imdbScore,actor3FBLikes,0.064979307
grossEarning,imdbScore,0.212494449
grossEarning,grossEarning,1
grossEarning,profit,0.604967838
grossEarning,ROI,0.018451723
grossEarning,budget,0.422728603
grossEarning,duration,0.250109566
grossEarning,numFaceInPoster,-0.03162542
grossEarning,numVotedUsers,0.630190512
grossEarning,numCriticsForReviews,0.475540153
grossEarning,movieFBLikes,0.3714297
grossEarning,castMemberFBLikes,0.240583417
grossEarning,directorFBLikes,0.142698008
grossEarning,actor1FBLikes,0.148658072
grossEarning,actor2FBLikes,0.256895273
grossEarning,actor3FBLikes,0.303467381
profit,imdbScore,0.178117825
profit,grossEarning,0.604967838
profit,profit,1
profit,ROI,0.039379755
profit,budget,-0.465869306
profit,duration,0.048874371
profit,numFaceInPoster,-0.013186704
profit,numVotedUsers,0.388544321
profit,numCriticsForReviews,0.199509479
profit,movieFBLikes,0.183727087
profit,castMemberFBLikes,0.100323532
profit,directorFBLikes,0.085141865
profit,actor1FBLikes,0.055767717
profit,actor2FBLikes,0.107968805
profit,actor3FBLikes,0.142455434
ROI,imdbScore,0.010351325
ROI,grossEarning,0.018451723
ROI,profit,0.039379755
ROI,ROI,1
ROI,budget,-0.024315331
ROI,duration,-0.032712202
ROI,numFaceInPoster,-0.013557055
ROI,numVotedUsers,0.010541143
ROI,numCriticsForReviews,0.03325859
ROI,movieFBLikes,-0.002835228
ROI,castMemberFBLikes,-0.018680931
ROI,directorFBLikes,-0.006300452
ROI,actor1FBLikes,-0.015674003
ROI,actor2FBLikes,-0.013820931
ROI,actor3FBLikes,-0.012203854
budget,imdbScore,0.033414207
budget,grossEarning,0.422728603
budget,profit,-0.465869306
budget,ROI,-0.024315331
budget,budget,1
budget,duration,0.222314158
budget,numFaceInPoster,-0.020136054
budget,numVotedUsers,0.258091783
budget,numCriticsForReviews,0.301383598
budget,movieFBLikes,0.203650951
budget,castMemberFBLikes,0.153170822
budget,directorFBLikes,0.061672201
budget,actor1FBLikes,0.101727829
budget,actor2FBLikes,0.162596288
budget,actor3FBLikes,0.175099611
duration,imdbScore,0.359489146
duration,grossEarning,0.250109566
duration,profit,0.048874371
duration,ROI,-0.032712202
duration,budget,0.222314158
duration,duration,1
duration,numFaceInPoster,0.031482442
duration,numVotedUsers,0.341520725
duration,numCriticsForReviews,0.23564595
duration,movieFBLikes,0.217452173
duration,castMemberFBLikes,0.123814464
duration,directorFBLikes,0.18070859
duration,actor1FBLikes,0.086901191
duration,actor2FBLikes,0.131835519
duration,actor3FBLikes,0.127860778
numFaceInPoster,imdbScore,-0.065640046
numFaceInPoster,grossEarning,-0.03162542
numFaceInPoster,profit,-0.013186704
numFaceInPoster,ROI,-0.013557055
numFaceInPoster,budget,-0.020136054
numFaceInPoster,duration,0.031482442
numFaceInPoster,numFaceInPoster,1
numFaceInPoster,numVotedUsers,-0.032535156
