movieYear,gross,budget,imdbScore,profit,genres
2016,330249062,250000000,6.9,80249062,Action
2016,330249062,250000000,6.9,80249062,Adventure
2016,330249062,250000000,6.9,80249062,Sci-Fi
2016,407197282,250000000,8.2,157197282,Action
2016,407197282,250000000,8.2,157197282,Adventure
2016,407197282,250000000,8.2,157197282,Sci-Fi
2016,130468626,185000000,7.5,-54531374,Action
2016,130468626,185000000,7.5,-54531374,Adventure
2016,130468626,185000000,7.5,-54531374,Sci-Fi
2016,130468626,185000000,7.5,-54531374,Thriller
2016,124051759,180000000,6.6,-55948241,Action
2016,124051759,180000000,6.6,-55948241,Adventure
2016,124051759,180000000,6.6,-55948241,Drama
2016,124051759,180000000,6.6,-55948241,Romance
2016,154985087,178000000,7.3,-23014913,Action
2016,154985087,178000000,7.3,-23014913,Adventure
2016,154985087,178000000,7.3,-23014913,Sci-Fi
2016,161087183,175000000,6.9,-13912817,Action
2016,161087183,175000000,6.9,-13912817,Adventure
2016,161087183,175000000,6.9,-13912817,Comedy
2016,161087183,175000000,6.9,-13912817,Sci-Fi
2016,362645141,175000000,7.8,187645141,Adventure
2016,362645141,175000000,7.8,187645141,Drama
2016,362645141,175000000,7.8,187645141,Family
2016,362645141,175000000,7.8,187645141,Fantasy
2016,102315545,165000000,5.5,-62684455,Action
2016,102315545,165000000,5.5,-62684455,Adventure
2016,102315545,165000000,5.5,-62684455,Sci-Fi
2016,76846624,170000000,6.4,-93153376,Adventure
2016,76846624,170000000,6.4,-93153376,Family
2016,76846624,170000000,6.4,-93153376,Fantasy
2016,46978995,160000000,7.3,-113021005,Action
2016,46978995,160000000,7.3,-113021005,Adventure
2016,46978995,160000000,7.3,-113021005,Fantasy
2016,124051759,180000000,6.6,-55948241,Action
2016,124051759,180000000,6.6,-55948241,Adventure
2016,124051759,180000000,6.6,-55948241,Drama
2016,124051759,180000000,6.6,-55948241,Romance
2016,118099659,144000000,5.5,-25900341,Action
2016,118099659,144000000,5.5,-25900341,Comedy
2016,118099659,144000000,5.5,-25900341,Fantasy
2016,118099659,144000000,5.5,-25900341,Sci-Fi
2016,143523463,145000000,7.2,-1476537,Action
2016,143523463,145000000,7.2,-1476537,Adventure
2016,143523463,145000000,7.2,-1476537,Animation
2016,143523463,145000000,7.2,-1476537,Comedy
2016,143523463,145000000,7.2,-1476537,Family
2016,31141074,140000000,5.5,-108858926,Action
2016,31141074,140000000,5.5,-108858926,Adventure
2016,31141074,140000000,5.5,-108858926,Fantasy
2016,52792307,140000000,6.8,-87207693,Adventure
2016,52792307,140000000,6.8,-87207693,Family
2016,52792307,140000000,6.8,-87207693,Fantasy
2016,108521835,120000000,7.1,-11478165,Action
2016,108521835,120000000,7.1,-11478165,Thriller
2016,47952020,115000000,6.1,-67047980,Action
2016,47952020,115000000,6.1,-67047980,Adventure
2016,47952020,115000000,6.1,-67047980,Drama
2016,47952020,115000000,6.1,-67047980,Fantasy
2016,81638674,135000000,6.3,-53361326,Action
2016,81638674,135000000,6.3,-53361326,Adventure
2016,81638674,135000000,6.3,-53361326,Comedy
2016,81638674,135000000,6.3,-53361326,Sci-Fi
2016,66002193,110000000,5.8,-43997807,Action
2016,66002193,110000000,5.8,-43997807,Adventure
2016,66002193,110000000,5.8,-43997807,Mystery
2016,66002193,110000000,5.8,-43997807,Sci-Fi
2016,66002193,110000000,5.8,-43997807,Thriller
2016,64685359,90000000,6.9,-25314641,Action
2016,64685359,90000000,6.9,-25314641,Adventure
2016,64685359,90000000,6.9,-25314641,Comedy
2016,64685359,90000000,6.9,-25314641,Crime
2016,64685359,90000000,6.9,-25314641,Mystery
2016,64685359,90000000,6.9,-25314641,Thriller
2016,323505540,75000000,6.8,248505540,Animation
2016,323505540,75000000,6.8,248505540,Comedy
2016,323505540,75000000,6.8,248505540,Family
2016,107225164,73000000,6.3,34225164,Action
2016,107225164,73000000,6.3,34225164,Animation
2016,107225164,73000000,6.3,34225164,Comedy
2016,107225164,73000000,6.3,34225164,Family
2016,62401264,60000000,5.9,2401264,Action
2016,62401264,60000000,5.9,2401264,Crime
2016,62401264,60000000,5.9,2401264,Drama
2016,62401264,60000000,5.9,2401264,Thriller
2016,363024263,58000000,8.1,305024263,Action
2016,363024263,58000000,8.1,305024263,Adventure
2016,363024263,58000000,8.1,305024263,Comedy
2016,363024263,58000000,8.1,305024263,Romance
2016,363024263,58000000,8.1,305024263,Sci-Fi
2016,126088877,50000000,6.6,76088877,Action
2016,126088877,50000000,6.6,76088877,Comedy
2016,126088877,50000000,6.6,76088877,Crime
2016,52822418,50000000,7.4,2822418,Action
2016,52822418,50000000,7.4,2822418,Drama
2016,52822418,50000000,7.4,2822418,Thriller
2016,52822418,50000000,7.4,2822418,War
2016,20389967,50000000,6.7,-29610033,Action
2016,20389967,50000000,6.7,-29610033,Biography
2016,20389967,50000000,6.7,-29610033,Drama
2016,20389967,50000000,6.7,-29610033,History
2016,20389967,50000000,6.7,-29610033,War
2016,28837115,50000000,4.8,-21162885,Comedy
2016,14946229,25000000,7.3,-10053771,Biography
2016,14946229,25000000,7.3,-10053771,Crime
2016,14946229,25000000,7.3,-10053771,Drama
2016,14946229,25000000,7.3,-10053771,Thriller
2016,102310175,40000000,7.8,62310175,Horror
2016,102310175,40000000,7.8,62310175,Mystery
2016,102310175,40000000,7.8,62310175,Thriller
2016,90835030,40000000,5.9,50835030,Action
2016,90835030,40000000,5.9,50835030,Comedy
2016,34912982,38000000,5.2,-3087018,Action
2016,34912982,38000000,5.2,-3087018,Adventure
2016,34912982,38000000,5.2,-3087018,Sci-Fi
2016,34912982,38000000,5.2,-3087018,Thriller
2016,46813366,38000000,6.1,8813366,Comedy
2016,46813366,38000000,6.1,8813366,Romance
2016,55291815,35000000,6,20291815,Comedy
2016,14268533,31500000,6.3,-17231467,Action
2016,14268533,31500000,6.3,-17231467,Crime
2016,14268533,31500000,6.3,-17231467,Drama
2016,14268533,31500000,6.3,-17231467,Mystery
2016,14268533,31500000,6.3,-17231467,Sci-Fi
2016,14268533,31500000,6.3,-17231467,Thriller
2016,118099659,144000000,5.5,-25900341,Action
2016,118099659,144000000,5.5,-25900341,Comedy
2016,118099659,144000000,5.5,-25900341,Fantasy
2016,118099659,144000000,5.5,-25900341,Sci-Fi
2016,63034755,29000000,5.3,34034755,Comedy
2016,10907291,28000000,5.8,-17092709,Action
2016,10907291,28000000,5.8,-17092709,Horror
2016,10907291,28000000,5.8,-17092709,Romance
2016,362645141,175000000,7.8,187645141,Adventure
2016,362645141,175000000,7.8,187645141,Drama
2016,362645141,175000000,7.8,187645141,Family
2016,362645141,175000000,7.8,187645141,Fantasy
2016,41008532,27000000,6.7,14008532,Crime
2016,41008532,27000000,6.7,14008532,Drama
2016,41008532,27000000,6.7,14008532,Thriller
2016,15785632,23000000,7.5,-7214368,Biography
2016,15785632,23000000,7.5,-7214368,Comedy
2016,15785632,23000000,7.5,-7214368,Drama
2016,15785632,23000000,7.5,-7214368,Sport
2016,1512815,25000000,5.8,-23487185,Action
2016,1512815,25000000,5.8,-23487185,Drama
2016,1512815,25000000,5.8,-23487185,Western
2016,15785632,23000000,7.5,-7214368,Biography
2016,15785632,23000000,7.5,-7214368,Comedy
2016,15785632,23000000,7.5,-7214368,Drama
2016,15785632,23000000,7.5,-7214368,Sport
2016,29997095,22000000,6.4,7997095,Comedy
2016,29997095,22000000,6.4,7997095,Mystery
2016,56154094,20000000,7.6,36154094,Drama
2016,56154094,20000000,7.6,36154094,Romance
2016,55461307,20000000,6.7,35461307,Comedy
2016,36874745,20000000,6.3,16874745,Action
2016,36874745,20000000,6.3,16874745,Adventure
2016,36874745,20000000,6.3,16874745,Drama
2016,36874745,20000000,6.3,16874745,Mystery
2016,28876924,20000000,7.1,8876924,Adventure
2016,28876924,20000000,7.1,8876924,Crime
2016,28876924,20000000,7.1,8876924,Mystery
2016,28876924,20000000,7.1,8876924,Sci-Fi
2016,28876924,20000000,7.1,8876924,Thriller
2016,12626905,20000000,6.3,-7373095,Action
2016,12626905,20000000,6.3,-7373095,Crime
2016,12626905,20000000,6.3,-7373095,Drama
2016,12626905,20000000,6.3,-7373095,Thriller
2016,59573085,18000000,6.1,41573085,Comedy
2016,59573085,18000000,6.1,41573085,Family
2016,59573085,18000000,6.1,41573085,Romance
2016,3707794,18000000,6.7,-14292206,Adventure
2016,3707794,18000000,6.7,-14292206,Drama
2016,3707794,18000000,6.7,-14292206,Sci-Fi
2016,3707794,18000000,6.7,-14292206,Thriller
2016,6462576,18500000,5.4,-12037424,Drama
2016,55461307,20000000,6.7,35461307,Comedy
2016,20566327,15000000,6.4,5566327,Action
2016,20566327,15000000,6.4,5566327,Comedy
2016,61693523,13000000,6.8,48693523,Drama
2016,54257433,17000000,6.8,37257433,Drama
2016,54257433,17000000,6.8,37257433,Horror
2016,54257433,17000000,6.8,37257433,Thriller
2016,31662,12620000,6.8,-12588338,Action
2016,31662,12620000,6.8,-12588338,Drama
2016,31662,12620000,6.8,-12588338,History
2016,31662,12620000,6.8,-12588338,War
2016,35537564,11500000,6,24037564,Comedy
2016,78845130,10000000,6.1,68845130,Action
2016,78845130,10000000,6.1,68845130,Horror
2016,78845130,10000000,6.1,68845130,Sci-Fi
2016,78845130,10000000,6.1,68845130,Thriller
2016,35794166,10000000,6,25794166,Horror
2016,35794166,10000000,6,25794166,Mystery
2016,35794166,10000000,6,25794166,Thriller
2016,26583369,10000000,4.8,16583369,Horror
2016,26583369,10000000,4.8,16583369,Mystery
2016,26583369,10000000,4.8,16583369,Thriller
2016,1330827,7000000,7,-5669173,Horror
2016,1330827,7000000,7,-5669173,Thriller
2016,71897215,15000000,7.3,56897215,Drama
2016,71897215,15000000,7.3,56897215,Horror
2016,71897215,15000000,7.3,56897215,Mystery
2016,71897215,15000000,7.3,56897215,Sci-Fi
2016,71897215,15000000,7.3,56897215,Thriller
2016,56536016,4900000,6.9,51636016,Horror
2016,11675178,5000000,3.5,6675178,Comedy
2016,9658370,5000000,4.5,4658370,Comedy
2016,9658370,5000000,4.5,4658370,Romance
2016,123777,3500000,4.7,-3376223,Action
2016,123777,3500000,4.7,-3376223,Biography
2016,123777,3500000,4.7,-3376223,Crime
2016,123777,3500000,4.7,-3376223,Drama
2016,123777,3500000,4.7,-3376223,Family
2016,123777,3500000,4.7,-3376223,Fantasy
2016,3105269,3000000,5,105269,Action
2016,3105269,3000000,5,105269,Comedy
2016,20773070,5000000,3.4,15773070,Drama
2015,200074175,245000000,6.8,-44925825,Action
2015,200074175,245000000,6.8,-44925825,Adventure
2015,200074175,245000000,6.8,-44925825,Thriller
2015,458991599,250000000,7.5,208991599,Action
2015,458991599,250000000,7.5,208991599,Adventure
2015,458991599,250000000,7.5,208991599,Sci-Fi
2015,652177271,150000000,7,502177271,Action
2015,652177271,150000000,7,502177271,Adventure
2015,652177271,150000000,7,502177271,Sci-Fi
2015,652177271,150000000,7,502177271,Thriller
2015,350034110,190000000,7.2,160034110,Action
2015,350034110,190000000,7.2,160034110,Crime
