movieTitle,movieYear,movieIMDbLink,imdbScore,director,actor
The Shawshank Redemption,1994,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,9.3,Frank Darabont,Morgan Freeman
The Godfather,1972,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,9.2,Francis Ford Coppola,Al Pacino
Kickboxer: Vengeance,2016,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,9.1,John Stockwell,Matthew Ziff
The Dark Knight,2008,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,9,Christopher Nolan,Christian Bale
The Godfather: Part II,1974,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,9,Francis Ford Coppola,Robert De Niro
The Lord of the Rings: The Return of the King,2003,http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1,8.9,Peter Jackson,Orlando Bloom
Schindler's List,1993,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,8.9,Steven Spielberg,Liam Neeson
Pulp Fiction,1994,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,8.9,Quentin Tarantino,Bruce Willis
"The Good, the Bad and the Ugly",1966,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,8.9,Sergio Leone,Clint Eastwood
12 Angry Men,1957,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,8.9,Sidney Lumet,Jack Warden
Inception,2010,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,8.8,Christopher Nolan,Leonardo DiCaprio
The Lord of the Rings: The Fellowship of the Ring,2001,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,8.8,Peter Jackson,Christopher Lee
Fight Club,1999,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,8.8,David Fincher,Brad Pitt
Forrest Gump,1994,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,8.8,Robert Zemeckis,Tom Hanks
Star Wars: Episode V - The Empire Strikes Back,1980,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,8.8,Irvin Kershner,Harrison Ford
The Lord of the Rings: The Two Towers,2002,http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1,8.7,Peter Jackson,Christopher Lee
The Matrix,1999,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,8.7,Lana Wachowski,Keanu Reeves
Goodfellas,1990,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,8.7,Martin Scorsese,Robert De Niro
Star Wars: Episode IV - A New Hope,1977,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,8.7,George Lucas,Harrison Ford
One Flew Over the Cuckoo's Nest,1975,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,8.7,Milos Forman,Scatman Crothers
City of God,2002,http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1,8.7,Fernando Meirelles,Alice Braga
A Beginner's Guide to Snuff,2016,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,8.7,Mitchell Altieri,Kimberley Crossman
Queen of the Mountains,2014,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,8.7,Sadyk Sher-Niyaz,Elina Abai Kyzy
Seven Samurai,1954,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,8.7,Akira Kurosawa,Takashi Shimura
Butterfly Girl,2014,http://www.imdb.com/title/tt2421956/?ref_=fn_tt_tt_1,8.7,Cary Bell,Abigail Evans
Interstellar,2014,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,8.6,Christopher Nolan,Matthew McConaughey
Saving Private Ryan,1998,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,8.6,Steven Spielberg,Tom Hanks
Se7en,1995,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,8.6,David Fincher,Morgan Freeman
The Silence of the Lambs,1991,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,8.6,Jonathan Demme,Anthony Hopkins
Spirited Away,2001,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,8.6,Hayao Miyazaki,Bunta Sugawara
American History X,1998,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,8.6,Tony Kaye,Ethan Suplee
The Usual Suspects,1995,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,8.6,Bryan Singer,Kevin Spacey
Once Upon a Time in the West,1968,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,8.6,Sergio Leone,Claudia Cardinale
Running Forever,2015,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,8.6,Mike Mayhall,David Raizor
It's a Wonderful Life,1946,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,8.6,Frank Capra,Donna Reed
Modern Times,1936,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,8.6,Charles Chaplin,Paulette Goddard
Casablanca,1942,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,8.6,Michael Curtiz,Humphrey Bogart
The Dark Knight Rises,2012,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,8.5,Christopher Nolan,Tom Hardy
Gladiator,2000,http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1,8.5,Ridley Scott,Djimon Hounsou
Terminator 2: Judgment Day,1991,http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1,8.5,James Cameron,Joe Morton
Django Unchained,2012,http://www.imdb.com/title/tt1853728/?ref_=fn_tt_tt_1,8.5,Quentin Tarantino,Leonardo DiCaprio
The Departed,2006,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,8.5,Martin Scorsese,Leonardo DiCaprio
The Lion King,1994,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1,8.5,Roger Allers,Matthew Broderick
The Green Mile,1999,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,8.5,Frank Darabont,Tom Hanks
The Prestige,2006,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,8.5,Christopher Nolan,Christian Bale
The Pianist,2002,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,8.5,Roman Polanski,Emilia Fox
Apocalypse Now,1979,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,8.5,Francis Ford Coppola,Harrison Ford
Raiders of the Lost Ark,1981,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,8.5,Steven Spielberg,Harrison Ford
Psycho,1960,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,8.5,Alfred Hitchcock,Janet Leigh
Back to the Future,1985,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,8.5,Robert Zemeckis,Lea Thompson
Alien,1979,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,8.5,Ridley Scott,Tom Skerritt
Memento,2000,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,8.5,Christopher Nolan,Callum Rennie
Airlift,2016,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1,8.5,Raja Menon,Nimrat Kaur
Samsara,2011,http://www.imdb.com/title/tt0770802/?ref_=fn_tt_tt_1,8.5,Ron Fricke,Collin Alfredo St. Dic
Whiplash,2014,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1,8.5,Damien Chazelle,J.K. Simmons
The Lives of Others,2006,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,8.5,Florian Henckel von Donnersmarck,Sebastian Koch
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,8.5,Stanley Kubrick,George C. Scott
Children of Heaven,1997,http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1,8.5,Majid Majidi,Bahare Seddiqi
WALLÌ´ÌÁE,2008,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,8.4,Andrew Stanton,John Ratzenberger
Braveheart,1995,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,8.4,Mel Gibson,Mhairi Calvey
AmÌÎå©lie,2001,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,8.4,Jean-Pierre Jeunet,Mathieu Kassovitz
Baahubali: The Beginning,2015,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,8.4,S.S. Rajamouli,Tamannaah Bhatia
Lion of the Desert,1980,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,8.4,Moustapha Akkad,Oliver Reed
Star Wars: Episode VI - Return of the Jedi,1983,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,8.4,Richard Marquand,Harrison Ford
Once Upon a Time in America,1984,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,8.4,Sergio Leone,Robert De Niro
Princess Mononoke,1997,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,8.4,Hayao Miyazaki,Minnie Driver
The Shining,1980,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,8.4,Stanley Kubrick,Scatman Crothers
Aliens,1986,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,8.4,James Cameron,Michael Biehn
American Beauty,1999,http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,8.4,Sam Mendes,Kevin Spacey
Lawrence of Arabia,1962,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,8.4,David Lean,Claude Rains
U2 3D,2007,http://www.imdb.com/title/tt0892375/?ref_=fn_tt_tt_1,8.4,Catherine Owens,Bono
Das Boot,1981,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,8.4,Wolfgang Petersen,JÌÎ_rgen Prochnow, Herbert GrÌÎå_nemeyer
Rang De Basanti,2006,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,8.4,Rakeysh Omprakash Mehra,Anupam Kher
Requiem for a Dream,2000,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,8.4,Darren Aronofsky,Ellen Burstyn
"Batman: The Dark Knight Returns, Part 2",2013,http://www.imdb.com/title/tt2166834/?ref_=fn_tt_tt_1,8.4,Jay Oliva,Michael Emerson
Oldboy,2003,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,8.4,Chan-wook Park,Min-sik Choi
To Kill a Mockingbird,1962,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,8.4,Robert Mulligan,Robert Duvall
Reservoir Dogs,1992,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,8.4,Quentin Tarantino,Quentin Tarantino
A Separation,2011,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,8.4,Asghar Farhadi,Shahab Hosseini
The Other Dream Team,2012,http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1,8.4,Marius A. Markevicius,Tommy Sheppard
A Charlie Brown Christmas,1965,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,8.4,Bill Melendez,Peter Robbins
Toy Story 3,2010,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,8.3,Lee Unkrich,Tom Hanks
Up,2009,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,8.3,Pete Docter,John Ratzenberger
Inside Out,2015,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,8.3,Pete Docter,Amy Poehler
Batman Begins,2005,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,8.3,Christopher Nolan,Christian Bale
Inglourious Basterds,2009,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,8.3,Quentin Tarantino,Michael Fassbender
Indiana Jones and the Last Crusade,1989,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,8.3,Steven Spielberg,Harrison Ford
L.A. Confidential,1997,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,8.3,Curtis Hanson,Kevin Spacey
Toy Story,1995,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,8.3,John Lasseter,Tom Hanks
Scarface,1983,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,8.3,Brian De Palma,Al Pacino
Eternal Sunshine of the Spotless Mind,2004,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,8.3,Michel Gondry,Kate Winslet
Amadeus,1984,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,8.3,Milos Forman,Jeffrey Jones
Raging Bull,1980,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,8.3,Martin Scorsese,Robert De Niro
Metropolis,1927,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,8.3,Fritz Lang,Brigitte Helm
Unforgiven,1992,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,8.3,Clint Eastwood,Clint Eastwood
Downfall,2004,http://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1,8.3,Oliver Hirschbiegel,Thomas Kretschmann
Room,2015,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,8.3,Lenny Abrahamson,Joan Allen
Snatch,2000,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,8.3,Guy Ritchie,Jason Statham
