country,movieTitle,contentRating,movieYear,duration,language,numFaceInPoster,movieIMDbLink,gross,budget,imdbScore,numVotedUsers,numCriticsForReviews,castMemberFBLikes,movieFBLikes,director,directorFBLikes,actor1,actor1FBLikes,actor2,actor2FBLikes,actor3,actor3FBLikes,profit,ROI
USA,Avatar,PG-13,2009,178,English,0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,760505847,237000000,7.9,886204,723,4834,33000,James Cameron,0,CCH Pounder,1000,Joel David Moore,936,Wes Studi,855,523505847,220.8885430379747
USA,Pirates of the Caribbean: At World's End,PG-13,2007,169,English,0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,309404152,300000000,7.1,471220,302,48350,0,Gore Verbinski,563,Johnny Depp,40000,Orlando Bloom,5000,Jack Davenport,1000,9404152,3.134717333333333
UK,Spectre,PG-13,2015,148,English,1,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,200074175,245000000,6.8,275868,602,11700,85000,Sam Mendes,0,Christoph Waltz,11000,Rory Kinnear,393,Stephanie Sigman,161,-44925825,-18.337071428571427
USA,The Dark Knight Rises,PG-13,2012,164,English,0,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,448130642,250000000,8.5,1144337,813,106759,164000,Christopher Nolan,22000,Tom Hardy,27000,Christian Bale,23000,Joseph Gordon-Levitt,23000,198130642,79.2522568
USA,John Carter,PG-13,2012,132,English,1,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,73058679,263700000,6.6,212204,462,1873,24000,Andrew Stanton,475,Daryl Sabara,640,Samantha Morton,632,Polly Walker,530,-190641321,-72.29477474402731
USA,Spider-Man 3,PG-13,2007,156,English,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,336530303,258000000,6.2,383056,392,46055,0,Sam Raimi,0,J.K. Simmons,24000,James Franco,11000,Kirsten Dunst,4000,78530303,30.438101937984495
USA,Tangled,PG,2010,100,English,1,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,200807262,260000000,7.8,294810,324,2036,29000,Nathan Greno,15,Brad Garrett,799,Donna Murphy,553,M.C. Gainey,284,-59192738,-22.766437692307694
USA,Avengers: Age of Ultron,PG-13,2015,141,English,4,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,458991599,250000000,7.5,462669,635,92000,118000,Joss Whedon,0,Chris Hemsworth,26000,Robert Downey Jr.,21000,Scarlett Johansson,19000,208991599,83.5966396
UK,Harry Potter and the Half-Blood Prince,PG,2009,153,English,3,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,301956980,250000000,7.5,321795,375,58753,10000,David Yates,282,Alan Rickman,25000,Daniel Radcliffe,11000,Rupert Grint,10000,51956980,20.782792
USA,Batman v Superman: Dawn of Justice,PG-13,2016,183,English,0,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,330249062,250000000,6.9,371639,673,24450,197000,Zack Snyder,0,Henry Cavill,15000,Lauren Cohan,4000,Alan D. Purwin,2000,80249062,32.0996248
USA,Superman Returns,PG-13,2006,169,English,0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,200069408,209000000,6.1,240396,434,29991,0,Bryan Singer,0,Kevin Spacey,18000,Marlon Brando,10000,Frank Langella,903,-8930592,-4.273010526315789
UK,Quantum of Solace,PG-13,2008,106,English,1,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,168368427,200000000,6.7,330784,403,2023,0,Marc Forster,395,Giancarlo Giannini,451,Mathieu Amalric,412,Rory Kinnear,393,-31631573,-15.815786500000002
USA,Pirates of the Caribbean: Dead Man's Chest,PG-13,2006,151,English,2,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,423032628,225000000,7.3,522040,313,48486,5000,Gore Verbinski,563,Johnny Depp,40000,Orlando Bloom,5000,Jack Davenport,1000,198032628,88.01450133333333
USA,The Lone Ranger,PG-13,2013,150,English,1,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,89289910,215000000,6.5,181792,450,45757,48000,Gore Verbinski,563,Johnny Depp,40000,Ruth Wilson,2000,Tom Wilkinson,1000,-125710090,-58.46980930232558
USA,Man of Steel,PG-13,2013,143,English,0,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,291021565,225000000,7.2,548573,733,20495,118000,Zack Snyder,0,Henry Cavill,15000,Christopher Meloni,3000,Harry Lennix,748,66021565,29.342917777777778
USA,The Chronicles of Narnia: Prince Caspian,PG,2008,150,English,4,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,141614023,225000000,6.6,149922,258,22697,0,Andrew Adamson,80,Peter Dinklage,22000,Pierfrancesco Favino,216,DamiÌÎÌn AlcÌÎÌzar,201,-83385977,-37.06043422222222
USA,The Avengers,PG-13,2012,173,English,3,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,623279547,220000000,8.1,995415,703,87697,123000,Joss Whedon,0,Chris Hemsworth,26000,Robert Downey Jr.,21000,Scarlett Johansson,19000,403279547,183.308885
