movieTitle,movieIMDbLink,gross,budget,profit,ROI,actor
Avatar,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,760505847,237000000,523505847,220.8885430379747,CCH Pounder
Pirates of the Caribbean: At World's End,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,309404152,300000000,9404152,3.134717333333333,Johnny Depp
Spectre,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,200074175,245000000,-44925825,-18.337071428571427,Christoph Waltz
The Dark Knight Rises,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,448130642,250000000,198130642,79.2522568,Tom Hardy
John Carter,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,73058679,263700000,-190641321,-72.29477474402731,Daryl Sabara
Spider-Man 3,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,336530303,258000000,78530303,30.438101937984495,J.K. Simmons
Tangled,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,200807262,260000000,-59192738,-22.766437692307694,Brad Garrett
Avengers: Age of Ultron,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,458991599,250000000,208991599,83.5966396,Chris Hemsworth
Harry Potter and the Half-Blood Prince,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,301956980,250000000,51956980,20.782792,Alan Rickman
Batman v Superman: Dawn of Justice,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,330249062,250000000,80249062,32.0996248,Henry Cavill
Superman Returns,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,200069408,209000000,-8930592,-4.273010526315789,Kevin Spacey
Quantum of Solace,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,168368427,200000000,-31631573,-15.815786500000002,Giancarlo Giannini
Pirates of the Caribbean: Dead Man's Chest,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,423032628,225000000,198032628,88.01450133333333,Johnny Depp
The Lone Ranger,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,89289910,215000000,-125710090,-58.46980930232558,Johnny Depp
Man of Steel,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,291021565,225000000,66021565,29.342917777777778,Henry Cavill
