movieTitle,movieIMDbLink,gross,budget,director,profit,ROI
Avatar,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,760505847,237000000,James Cameron,523505847,220.8885430379747
Pirates of the Caribbean: At World's End,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,309404152,300000000,Gore Verbinski,9404152,3.134717333333333
Spectre,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,200074175,245000000,Sam Mendes,-44925825,-18.337071428571427
The Dark Knight Rises,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,448130642,250000000,Christopher Nolan,198130642,79.2522568
John Carter,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,73058679,263700000,Andrew Stanton,-190641321,-72.29477474402731
Spider-Man 3,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,336530303,258000000,Sam Raimi,78530303,30.438101937984495
Tangled,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,200807262,260000000,Nathan Greno,-59192738,-22.766437692307694
Avengers: Age of Ultron,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,458991599,250000000,Joss Whedon,208991599,83.5966396
Harry Potter and the Half-Blood Prince,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,301956980,250000000,David Yates,51956980,20.782792
Batman v Superman: Dawn of Justice,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,330249062,250000000,Zack Snyder,80249062,32.0996248
Superman Returns,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,200069408,209000000,Bryan Singer,-8930592,-4.273010526315789
Quantum of Solace,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,168368427,200000000,Marc Forster,-31631573,-15.815786500000002
Pirates of the Caribbean: Dead Man's Chest,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,423032628,225000000,Gore Verbinski,198032628,88.01450133333333
The Lone Ranger,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,89289910,215000000,Gore Verbinski,-125710090,-58.46980930232558
Man of Steel,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,291021565,225000000,Zack Snyder,66021565,29.342917777777778
The Chronicles of Narnia: Prince Caspian,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,141614023,225000000,Andrew Adamson,-83385977,-37.06043422222222
The Avengers,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,623279547,220000000,Joss Whedon,403279547,183.308885
Pirates of the Caribbean: On Stranger Tides,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,241063875,250000000,Rob Marshall,-8936125,-3.5744499999999997
Men in Black 3,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,179020854,225000000,Barry Sonnenfeld,-45979146,-20.435176
The Hobbit: The Battle of the Five Armies,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,255108370,250000000,Peter Jackson,5108370,2.043348
The Amazing Spider-Man,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,262030663,230000000,Marc Webb,32030663,13.926375217391303
Robin Hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,105219735,200000000,Ridley Scott,-94780265,-47.3901325
The Hobbit: The Desolation of Smaug,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,258355354,225000000,Peter Jackson,33355354,14.824601777777776
The Golden Compass,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,70083519,180000000,Chris Weitz,-109916481,-61.06471166666667
King Kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,218051260,207000000,Peter Jackson,11051260,5.338772946859904
Titanic,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,658672302,200000000,James Cameron,458672302,229.336151
Captain America: Civil War,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,407197282,250000000,Anthony Russo,157197282,62.878912799999995
Battleship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,65173160,209000000,Peter Berg,-143826840,-68.81666985645933
Jurassic World,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,652177271,150000000,Colin Trevorrow,502177271,334.78484733333335
Skyfall,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,304360277,200000000,Sam Mendes,104360277,52.1801385
Spider-Man 2,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,373377893,200000000,Sam Raimi,173377893,86.6889465
Iron Man 3,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,408992272,200000000,Shane Black,208992272,104.496136
Alice in Wonderland,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,334185206,200000000,Tim Burton,134185206,67.092603
X-Men: The Last Stand,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,234360014,210000000,Brett Ratner,24360014,11.600006666666667
Monsters University,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,268488329,200000000,Dan Scanlon,68488329,34.244164500000004
Transformers: Revenge of the Fallen,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,402076689,200000000,Michael Bay,202076689,101.0383445
Transformers: Age of Extinction,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,245428137,210000000,Michael Bay,35428137,16.87054142857143
Oz the Great and Powerful,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,234903076,215000000,Sam Raimi,19903076,9.257244651162791
The Amazing Spider-Man 2,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,202853933,200000000,Marc Webb,2853933,1.4269665
TRON: Legacy,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,172051787,170000000,Joseph Kosinski,2051787,1.2069335294117647
Cars 2,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,191450875,200000000,John Lasseter,-8549125,-4.2745625
Green Lantern,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,116593191,200000000,Martin Campbell,-83406809,-41.703404500000005
Toy Story 3,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,414984497,200000000,Lee Unkrich,214984497,107.49224850000002
Terminator Salvation,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,125320003,200000000,McG,-74679997,-37.3399985
Furious 7,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,350034110,190000000,James Wan,160034110,84.22847894736843
World War Z,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,202351611,190000000,Marc Forster,12351611,6.500847894736841
X-Men: Days of Future Past,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,233914986,200000000,Bryan Singer,33914986,16.957493
Star Trek Into Darkness,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,228756232,190000000,J.J. Abrams,38756232,20.398016842105264
Jack the Giant Slayer,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,65171860,195000000,Bryan Singer,-129828140,-66.57853333333334
The Great Gatsby,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,144812796,105000000,Baz Luhrmann,39812796,37.91694857142857
Prince of Persia: The Sands of Time,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,90755643,200000000,Mike Newell,-109244357,-54.6221785
Pacific Rim,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,101785482,190000000,Guillermo del Toro,-88214518,-46.42869368421053
Transformers: Dark of the Moon,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,352358779,195000000,Michael Bay,157358779,80.69680974358975
Indiana Jones and the Kingdom of the Crystal Skull,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,317011114,185000000,Steven Spielberg,132011114,71.35735891891892
Brave,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,237282182,185000000,Mark Andrews,52282182,28.260638918918918
Star Trek Beyond,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,130468626,185000000,Justin Lin,-54531374,-29.476418378378376
WALLÌ´ÌÁE,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,223806889,180000000,Andrew Stanton,43806889,24.337160555555556
Rush Hour 3,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,140080850,140000000,Brett Ratner,80850,0.05775
2012,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,166112167,200000000,Roland Emmerich,-33887833,-16.9439165
A Christmas Carol,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,137850096,200000000,Robert Zemeckis,-62149904,-31.074952
Jupiter Ascending,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,47375327,176000000,Lana Wachowski,-128624673,-73.08220056818182
The Legend of Tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,124051759,180000000,David Yates,-55948241,-31.08235611111111
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,291709845,180000000,Andrew Adamson,111709845,62.061025
X-Men: Apocalypse,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,154985087,178000000,Bryan Singer,-23014913,-12.929726404494382
The Dark Knight,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,533316061,185000000,Christopher Nolan,348316061,188.2789518918919
Up,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,292979556,175000000,Pete Docter,117979556,67.41688914285714
Monsters vs. Aliens,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,198332128,175000000,Rob Letterman,23332128,13.33264457142857
Iron Man,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,318298180,140000000,Jon Favreau,178298180,127.35584285714285
