source,target,id,weight
The Shawshank Redemption,Frank Darabont,0,1
The Shawshank Redemption,Morgan Freeman,1,1
The Shawshank Redemption,Jeffrey DeMunn,2,1
The Shawshank Redemption,Bob Gunton,3,1
The Godfather,Francis Ford Coppola,4,1
The Godfather,Al Pacino,5,1
The Godfather,Marlon Brando,6,1
The Godfather,Robert Duvall,7,1
Kickboxer: Vengeance,John Stockwell,8,1
Kickboxer: Vengeance,Matthew Ziff,9,1
Kickboxer: Vengeance,T.J. Storm,10,1
Kickboxer: Vengeance,Sam Medina,11,1
The Dark Knight,Christopher Nolan,12,1
The Dark Knight,Christian Bale,13,1
The Dark Knight,Heath Ledger,14,1
The Dark Knight,Morgan Freeman,15,1
The Godfather: Part II,Francis Ford Coppola,16,1
The Godfather: Part II,Robert De Niro,17,1
The Godfather: Part II,Al Pacino,18,1
The Godfather: Part II,Robert Duvall,19,1
The Lord of the Rings: The Return of the King,Peter Jackson,20,1
The Lord of the Rings: The Return of the King,Orlando Bloom,21,1
The Lord of the Rings: The Return of the King,Billy Boyd,22,1
The Lord of the Rings: The Return of the King,Bernard Hill,23,1
Schindler's List,Steven Spielberg,24,1
Schindler's List,Liam Neeson,25,1
Schindler's List,Embeth Davidtz,26,1
Schindler's List,Caroline Goodall,27,1
Pulp Fiction,Quentin Tarantino,28,1
Pulp Fiction,Bruce Willis,29,1
Pulp Fiction,Eric Stoltz,30,1
Pulp Fiction,Phil LaMarr,31,1
The Good, the Bad and the Ugly,32,1
The Good,Sergio Leone,33,1
The Good,Clint Eastwood,34,1
The Good,Luigi Pistilli,35,1
The Good,Enzo Petito,36,1
12 Angry Men,Sidney Lumet,37,1
12 Angry Men,Jack Warden,38,1
12 Angry Men,Lee J. Cobb,39,1
12 Angry Men,John Fiedler,40,1
Inception,Christopher Nolan,41,1
Inception,Leonardo DiCaprio,42,1
Inception,Tom Hardy,43,1
Inception,Joseph Gordon-Levitt,44,1
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,45,1
The Lord of the Rings: The Fellowship of the Ring,Christopher Lee,46,1
The Lord of the Rings: The Fellowship of the Ring,Orlando Bloom,47,1
The Lord of the Rings: The Fellowship of the Ring,Billy Boyd,48,1
Fight Club,David Fincher,49,1
Fight Club,Brad Pitt,50,1
Fight Club,Meat Loaf,51,1
Fight Club,Eugenie Bondurant,52,1
Forrest Gump,Robert Zemeckis,53,1
Forrest Gump,Tom Hanks,54,1
Forrest Gump,Siobhan Fallon Hogan,55,1
Forrest Gump,Sam Anderson,56,1
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,57,1
Star Wars: Episode V - The Empire Strikes Back,Harrison Ford,58,1
Star Wars: Episode V - The Empire Strikes Back,Kenny Baker,59,1
Star Wars: Episode V - The Empire Strikes Back,Anthony Daniels,60,1
The Lord of the Rings: The Two Towers,Peter Jackson,61,1
The Lord of the Rings: The Two Towers,Christopher Lee,62,1
The Lord of the Rings: The Two Towers,Orlando Bloom,63,1
The Lord of the Rings: The Two Towers,Billy Boyd,64,1
The Matrix,Lana Wachowski,65,1
The Matrix,Keanu Reeves,66,1
The Matrix,Marcus Chong,67,1
The Matrix,Gloria Foster,68,1
Goodfellas,Martin Scorsese,69,1
Goodfellas,Robert De Niro,70,1
Goodfellas,Mike Starr,71,1
Goodfellas,Paul Sorvino,72,1
Star Wars: Episode IV - A New Hope,George Lucas,73,1
Star Wars: Episode IV - A New Hope,Harrison Ford,74,1
Star Wars: Episode IV - A New Hope,Peter Cushing,75,1
Star Wars: Episode IV - A New Hope,Kenny Baker,76,1
One Flew Over the Cuckoo's Nest,Milos Forman,77,1
One Flew Over the Cuckoo's Nest,Scatman Crothers,78,1
One Flew Over the Cuckoo's Nest,Michael Berryman,79,1
One Flew Over the Cuckoo's Nest,Louise Fletcher,80,1
City of God,Fernando Meirelles,81,1
City of God,Alice Braga,82,1
City of God,Seu Jorge,83,1
City of God,Alexandre Rodrigues,84,1
A Beginner's Guide to Snuff,Mitchell Altieri,85,1
A Beginner's Guide to Snuff,Kimberley Crossman,86,1
A Beginner's Guide to Snuff,Luke Edwards,87,1
A Beginner's Guide to Snuff,Bree Williamson,88,1
Queen of the Mountains,Sadyk Sher-Niyaz,89,1
Queen of the Mountains,Elina Abai Kyzy,90,1
Queen of the Mountains,Aziz Muradillayev,91,1
Queen of the Mountains,Mirlan Abdulayev,92,1
Seven Samurai,Akira Kurosawa,93,1
Seven Samurai,Takashi Shimura,94,1
Seven Samurai,Minoru Chiaki,95,1
Seven Samurai,Kamatari Fujiwara,96,1
Butterfly Girl,Cary Bell,97,1
Butterfly Girl,Abigail Evans,98,1
Butterfly Girl,Stacie Evans,99,1
Butterfly Girl,Emily Gorell,100,1
Interstellar,Christopher Nolan,101,1
Interstellar,Matthew McConaughey,102,1
Interstellar,Anne Hathaway,103,1
Interstellar,Mackenzie Foy,104,1
Saving Private Ryan,Steven Spielberg,105,1
Saving Private Ryan,Tom Hanks,106,1
Saving Private Ryan,Vin Diesel,107,1
Saving Private Ryan,Matt Damon,108,1
Se7en,David Fincher,109,1
Se7en,Morgan Freeman,110,1
Se7en,Brad Pitt,111,1
Se7en,Reg E. Cathey,112,1
The Silence of the Lambs,Jonathan Demme,113,1
The Silence of the Lambs,Anthony Hopkins,114,1
The Silence of the Lambs,Scott Glenn,115,1
The Silence of the Lambs,Anthony Heald,116,1
Spirited Away,Hayao Miyazaki,117,1
Spirited Away,Bunta Sugawara,118,1
Spirited Away,RyÌÎÌönosuke Kamiki,119,1
Spirited Away,Miyu Irino,120,1
American History X,Tony Kaye,121,1
American History X,Ethan Suplee,122,1
American History X,Beverly D'Angelo,123,1
American History X,Stacy Keach,124,1
The Usual Suspects,Bryan Singer,125,1
The Usual Suspects,Kevin Spacey,126,1
The Usual Suspects,Chazz Palminteri,127,1
The Usual Suspects,Kevin Pollak,128,1
Once Upon a Time in the West,Sergio Leone,129,1
Once Upon a Time in the West,Claudia Cardinale,130,1
Once Upon a Time in the West,Woody Strode,131,1
Once Upon a Time in the West,Jack Elam,132,1
Running Forever,Mike Mayhall,133,1
Running Forever,David Raizor,134,1
Running Forever,Cody Howard,135,1
Running Forever,Martin Kove,136,1
It's a Wonderful Life,Frank Capra,137,1
It's a Wonderful Life,Donna Reed,138,1
It's a Wonderful Life,Lionel Barrymore,139,1
It's a Wonderful Life,Thomas Mitchell,140,1
Modern Times,Charles Chaplin,141,1
Modern Times,Paulette Goddard,142,1
Modern Times,Stanley Blystone,143,1
Modern Times,Fred Malatesta,144,1
Casablanca,Michael Curtiz,145,1
Casablanca,Humphrey Bogart,146,1
Casablanca,Claude Rains,147,1
Casablanca,Conrad Veidt,148,1
