id,componentnumber,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted degree,degree,modularity_class,pageranks,clustering,triangles,eigencentrality,
The Shawshank Redemption,0,19,0.135488838,0.188767929,1437.344267,4,4,46,0.003750294,0,0,0.322515103,
Frank Darabont,0,20,0.134146341,0.178514916,631.9895327,2,2,46,0.001975287,0,0,0.18707905,
Morgan Freeman,0,18,0.144262295,0.21181908,2946.081507,5,5,4,0.004258027,0,0,0.636464626,
Jeffrey DeMunn,0,20,0.134146341,0.178514916,631.9895327,2,2,46,0.001975287,0,0,0.18707905,
Bob Gunton,0,20,0.119402985,0.151680213,0,1,1,46,0.001160727,0,0,0.095888924,
The Godfather,0,13,0.123856439,0.166875612,913.6075092,4,4,7,0.003278103,0,0,0.407602194,
Francis Ford Coppola,0,12,0.134556575,0.177503935,791.7224664,3,3,7,0.002460746,0,0,0.389499236,
Al Pacino,0,14,0.127721335,0.169573845,3676.777534,3,3,7,0.002655228,0,0,0.309666057,
Marlon Brando,0,12,0.12625538,0.160824356,288.8694139,2,2,7,0.001756639,0,0,0.260214642,
Robert Duvall,0,12,0.135384615,0.185553178,1479.722466,4,4,7,0.00339347,0,0,0.456939705,
Kickboxer: Vengeance,1,1,1,1,6,4,4,0,0.005756168,0,0,0.071381517,
John Stockwell,1,2,0.571428571,0.625,0,1,1,0,0.001587592,0,0,0.035444876,
Matthew Ziff,1,2,0.571428571,0.625,0,1,1,0,0.001587592,0,0,0.035444876,
T.J. Storm,1,2,0.571428571,0.625,0,1,1,0,0.001587592,0,0,0.035444876,
Sam Medina,1,2,0.571428571,0.625,0,1,1,0,0.001587592,0,0,0.035444876,
The Dark Knight,0,19,0.134453782,0.196747891,630.797866,4,4,4,0.003420472,0,0,0.659413337,
Christopher Nolan,0,18,0.139240506,0.214312767,2167.402126,7,7,4,0.005850018,0,0,1,
Christian Bale,0,20,0.125356125,0.181306632,235.8627706,4,4,4,0.003285927,0,0,0.651756114,
